,tweets,id,likes,time
53,The Fed has no option but to continue full speed ahead with hawkish policy this week.They know that the only way to control inflation is to send us into a recession.It’s time to rip the bandage off and raise rates at an even faster pace.Short term pain for a long term gain.,1551913017729859584,126,2022-07-26 12:51:11+00:00
37,You're not ready for what a recession will do to the global markets. How can you protect your crypto portfolio from the brutal carnage that is about to hit us!!LIVE in 90min: ,1551914517067698176,44,2022-07-26 12:57:08+00:00
56,"Biden Administration solution to US recession, is to change the definition of a recession.",1551912422633512960,7,2022-07-26 12:48:49+00:00
43,"BUT the future is murky. Margins have fallen in recent weeks. US gasoline demand is 7.6% lower than the year-ago period.“Investors are more concerned about potential negative earnings revisions...if the U.S. does enter a major recession,"" Credit Suisse wrote on Monday.4/4",1551913941940535297,5,2022-07-26 12:54:51+00:00
42,"Financial markets will digest a wide range of data this week, including the much-anticipated report on Q2 GDP.Investors also will closely monitor the results of the ’s July policy meeting. ",1551913978405818370,5,2022-07-26 12:55:00+00:00
18,"ICYMI: Team Biden tried to redefine what a recession is over the weekend. and  have zero doubts that we’re in a recession already.Join us on YouTube. Like and share this video, and subscribe to the Clay &amp; Buck YouTube channel!",1551915736658022406,5,2022-07-26 13:01:59+00:00
24,Popular  Contributor &amp; Editor of The Boock Report  joined us for Ep 279 of 📺Topics discussed: -  Meeting &amp; Interest Rate Hikes- Inflation- Looming Recession-    -  vs  Host:  ,1551915247673286662,1,2022-07-26 13:00:02+00:00
21,  Waiting for the articles that tell us why a recession is good for us,1551915564850991105,1,2022-07-26 13:01:18+00:00
30,I am observing a recent interesting trend no one is talking about: many smart and talented people are leaving behind their Russian roots for a different life-style in the EU/US. Russia is going to have a recession and we are going to see the effects of it in a year or two.,1551914955393404928,1,2022-07-26 12:58:53+00:00
49, US recession is not a happy thing for Indian IT employees and that will have indirect hit on lot of other support employees,1551913323934781440,0,2022-07-26 12:52:24+00:00
48,"Here's what you arent getting. Most of the large brands (Walmart, Amazon, Google, Chase, etc). are experiencing BIG earnings drops. They also envision a prolonged period where  will adversely affect US Economy including Recession.  necessary to offset."" ",1551913424069820419,0,2022-07-26 12:52:48+00:00
32," I think there will be a recession, and it will be stronger in Europe than in the US, but it will not be anything like 2008-2009 imo or even 2000 dotcom bubble. Current situation is difficult but manageable and the financial system much healthier than in 06-08.",1551914884157538304,0,2022-07-26 12:58:36+00:00
33,"As an Artist I feel Indebted to the one who made us proud.  , so I will title this quick painting ""Tears of victory. I was inspired by the two pictures below.    ",1551914736261992452,0,2022-07-26 12:58:00+00:00
34,  It’s an interesting way to analyze the recession route. The consumer confidence and the investments forecasts guide us to see how the economy will be working before a recession. We have to anticipate the economic expectations.,1551914714103533568,0,2022-07-26 12:57:55+00:00
35,"The US unemployment rate is near a 50-year low. It's actually been declining this year. ""The term recession may not be a good way to describe what we've experienced over the past several months."" -- ",1551914605638729728,0,2022-07-26 12:57:29+00:00
36,"US won’t go into recession, Biden says ahead of Q2 GDP announcement ",1551914523413680129,0,2022-07-26 12:57:10+00:00
55,Biden doesn't think the US is in a recession and doesn't believe it will go in oneBiden says 'we're not going to be in a recession' ahead of GDP numbers: 'God willing' ,1551912809339944963,0,2022-07-26 12:50:21+00:00
54," We are supposed to believe these nitwits? He is more interested in ""The liberal world order"". Yellen has destroyed the US dollar, brought highest inflation ever, and lied to us saying it was transitory. Now these nitwits tell us we are not in a  recession?",1551912900759003138,0,2022-07-26 12:50:43+00:00
38,"  2/ here is my idea. In a strong recession global economy slows down significantly.This combined with the US monetary policies ii increasing %, $ will become stronger compared to other currencies specifically developing economies (think resources producing nations).",1551914491092295681,0,2022-07-26 12:57:02+00:00
52, They think using “transition” for “recession” will trick us into believing we haven’t lost savings and retirements.,1551913064294907906,0,2022-07-26 12:51:22+00:00
39,"The US economy is in uncharted territory. The unemployment rate stands at 3.6% while inflation is hitting a 40-year high. The biggest risk today is not the inflation rate but the recession lobby pushing the Fed to raise interest rates, argues ",1551914481575464962,0,2022-07-26 12:57:00+00:00
40," China’s doing a lot to try to avoid one. But if really the case, then not only Malaysia will be affected but we could have a very bad global recession as the whole world will be on fire at the same time: EU with its debt crisis, EM a dollar squeeze, US a major econ slowdown etc😫",1551914351346343936,0,2022-07-26 12:56:29+00:00
